Query_ID	Target_ID	Optimal_Offset	p-value	E-value	Overlap	Strand
filter0 	MA0621.1 mix-a	-1.0	9.5572e-02	4.9602e+01	11.0	-
filter0 	MA0627.1 Pou2f3	2.0	8.6362e-02	4.4822e+01	12.0	+
filter0 	MA0628.1 POU6F1	-1.0	5.5363e-02	2.8733e+01	10.0	-
filter0 	MA0629.1 Rhox11	1.0	1.2826e-02	6.6566e+00	12.0	+
filter0 	MA0631.1 Six3	-1.0	7.8047e-02	4.0506e+01	11.0	-
filter0 	MA0635.1 BARHL2	-1.0	9.4470e-02	4.9030e+01	10.0	-
filter0 	MA0659.1 MAFG	1.0	1.9550e-09	1.0146e-06	12.0	+
filter0 	MA0661.1 MEOX1	-1.0	5.2630e-02	2.7315e+01	10.0	-
filter0 	MA0670.1 NFIA	-1.0	9.2996e-03	4.8265e+00	10.0	+
filter0 	MA0671.1 NFIX	-1.0	6.0650e-02	3.1477e+01	9.0	+
filter0 	MA0684.1 RUNX3	-1.0	5.0016e-02	2.5958e+01	10.0	-
filter0 	MA0691.1 TFAP4	0.0	1.4998e-02	7.7841e+00	10.0	+
filter0 	MA0706.1 MEOX2	-1.0	1.0502e-02	5.4503e+00	10.0	-
filter0 	MA0707.1 MNX1	-1.0	6.7559e-02	3.5063e+01	10.0	-
filter0 	MA0719.1 RHOXF1	-2.0	4.8350e-02	2.5094e+01	8.0	-
filter0 	MA0738.1 HIC2	-2.0	6.0650e-02	3.1477e+01	9.0	+
filter0 	MA0766.1 GATA5	-3.0	9.7513e-02	5.0609e+01	8.0	+
filter0 	MA0784.1 POU1F1	1.0	4.6348e-02	2.4055e+01	12.0	+
filter0 	MA0785.1 POU2F1	1.0	3.6308e-02	1.8844e+01	11.0	+
filter0 	MA0786.1 POU3F1	0.0	1.0447e-02	5.4221e+00	12.0	+
filter0 	MA0787.1 POU3F2	0.0	1.7728e-02	9.2007e+00	12.0	+
filter0 	MA0788.1 POU3F3	1.0	1.0424e-02	5.4100e+00	12.0	+
filter0 	MA0791.1 POU4F3	6.0	9.5013e-02	4.9312e+01	10.0	+
filter0 	MA0793.1 POU6F2	-2.0	4.7515e-02	2.4660e+01	10.0	-
filter0 	MA0816.1 Ascl2	0.0	8.5989e-02	4.4628e+01	10.0	+
filter0 	MA0835.1 BATF3	-3.0	6.9445e-02	3.6042e+01	9.0	+
filter0 	MA0839.1 CREB3L1	-3.0	8.4315e-02	4.3759e+01	9.0	-
filter0 	MA0842.1 NRL	1.0	1.0276e-08	5.3331e-06	10.0	+
filter0 	MA0846.1 FOXC2	-1.0	3.3352e-03	1.7310e+00	11.0	-
filter0 	MA0847.1 FOXD2	-3.0	7.7661e-02	4.0306e+01	7.0	-
filter0 	MA0848.1 FOXO4	-3.0	3.6862e-02	1.9131e+01	7.0	-
filter0 	MA0849.1 FOXO6	-3.0	3.2939e-02	1.7095e+01	7.0	-
filter0 	MA0850.1 FOXP3	-3.0	5.4012e-02	2.8032e+01	7.0	-
filter0 	MA0851.1 Foxj3	2.0	8.3370e-03	4.3269e+00	12.0	-
filter0 	MA0852.1 Foxk1	2.0	3.7948e-02	1.9695e+01	12.0	-
filter0 	MA0854.1 Alx1	2.0	5.7773e-02	2.9984e+01	12.0	+
filter0 	MA0883.1 Dmbx1	3.0	2.8862e-02	1.4980e+01	12.0	+
filter0 	MA0884.1 DUXA	-2.0	7.4114e-02	3.8465e+01	10.0	-
filter0 	MA0887.1 EVX1	-1.0	7.0947e-02	3.6822e+01	10.0	-
filter0 	MA0888.1 EVX2	-1.0	6.1199e-02	3.1762e+01	10.0	-
filter0 	MA0891.1 GSC2	-1.0	8.1996e-02	4.2556e+01	10.0	-
filter0 	MA0892.1 GSX1	-1.0	6.1199e-02	3.1762e+01	10.0	-
filter0 	MA0893.1 GSX2	-1.0	5.8217e-02	3.0215e+01	10.0	-
filter0 	MA0896.1 Hmx1	7.0	5.7773e-02	2.9984e+01	10.0	-
filter0 	MA0900.1 HOXA2	-1.0	7.8161e-02	4.0565e+01	10.0	-
filter0 	MA0902.1 HOXB2	-1.0	4.2841e-02	2.2234e+01	10.0	-
filter0 	MA0903.1 HOXB3	-1.0	5.5363e-02	2.8733e+01	10.0	-
filter0 	MA0904.1 Hoxb5	0.0	9.9605e-02	5.1695e+01	12.0	-
filter0 	MA0905.1 HOXC10	0.0	3.8575e-02	2.0020e+01	10.0	-
filter0 	MA0911.1 Hoxa11	1.0	7.0381e-02	3.6528e+01	11.0	-
filter0 	MA0912.1 Hoxd3	3.0	3.6267e-02	1.8823e+01	12.0	+
filter1 	MA0067.1 Pax2	-1.0	9.5905e-02	4.9775e+01	8.0	+
filter1 	MA0077.1 SOX9	-3.0	2.5749e-02	1.3364e+01	9.0	+
filter1 	MA0078.1 Sox17	-2.0	7.7197e-02	4.0065e+01	9.0	+
filter1 	MA0089.1 MAFG::NFE2L1	-2.0	1.6624e-02	8.6279e+00	6.0	-
filter1 	MA0091.1 TAL1::TCF3	0.0	1.4120e-02	7.3282e+00	12.0	+
filter1 	MA0095.2 YY1	1.0	4.3948e-11	2.2809e-08	11.0	-
filter1 	MA0106.3 TP53	8.0	1.1509e-02	5.9732e+00	10.0	+
filter1 	MA0109.1 HLTF	-1.0	9.2582e-03	4.8050e+00	10.0	+
filter1 	MA0130.1 ZNF354C	-1.0	6.8930e-02	3.5775e+01	6.0	+
filter1 	MA0139.1 CTCF	2.0	8.7666e-02	4.5499e+01	13.0	-
filter1 	MA0143.3 Sox2	-3.0	2.2546e-02	1.1701e+01	8.0	+
filter1 	MA0147.2 Myc	-3.0	3.7464e-02	1.9444e+01	10.0	+
filter1 	MA0150.2 Nfe2l2	4.0	3.9690e-02	2.0599e+01	11.0	-
filter1 	MA0161.1 NFIC	-1.0	6.5447e-03	3.3967e+00	6.0	-
filter1 	MA0258.2 ESR2	0.0	8.5705e-02	4.4481e+01	13.0	+
filter1 	MA0461.2 Atoh1	-2.0	1.3964e-02	7.2472e+00	10.0	-
filter1 	MA0469.2 E2F3	7.0	2.9481e-02	1.5301e+01	11.0	+
filter1 	MA0488.1 JUN	0.0	5.3703e-02	2.7872e+01	13.0	-
filter1 	MA0497.1 MEF2C	-1.0	1.0880e-02	5.6469e+00	12.0	-
filter1 	MA0499.1 Myod1	1.0	8.9963e-02	4.6691e+01	12.0	-
filter1 	MA0515.1 Sox6	-3.0	5.0921e-02	2.6428e+01	10.0	+
filter1 	MA0516.1 SP2	3.0	5.8884e-02	3.0561e+01	12.0	+
filter1 	MA0525.2 TP63	-2.0	4.9266e-02	2.5569e+01	11.0	+
filter1 	MA0597.1 THAP1	0.0	1.2126e-02	6.2935e+00	9.0	+
filter1 	MA0602.1 Arid5a	2.0	3.9184e-03	2.0337e+00	12.0	-
filter1 	MA0607.1 Bhlha15	-3.0	5.7891e-02	3.0046e+01	8.0	+
filter1 	MA0623.1 Neurog1	-2.0	6.4284e-03	3.3363e+00	10.0	-
filter1 	MA0633.1 Twist2	-2.0	2.1919e-02	1.1376e+01	10.0	+
filter1 	MA0637.1 CENPB	-3.0	9.8155e-02	5.0943e+01	10.0	+
filter1 	MA0657.1 KLF13	5.0	9.1776e-02	4.7632e+01	13.0	+
filter1 	MA0668.1 NEUROD2	-2.0	6.0422e-03	3.1359e+00	10.0	+
filter1 	MA0669.1 NEUROG2	-2.0	4.6026e-02	2.3888e+01	10.0	-
filter1 	MA0670.1 NFIA	1.0	8.6781e-02	4.5039e+01	9.0	+
filter1 	MA0671.1 NFIX	1.0	1.9403e-02	1.0070e+01	8.0	+
filter1 	MA0678.1 OLIG2	-2.0	2.3158e-02	1.2019e+01	10.0	+
filter1 	MA0687.1 SPIC	2.0	7.7460e-02	4.0202e+01	12.0	-
filter1 	MA0698.1 ZBTB18	-1.0	3.7960e-02	1.9701e+01	12.0	-
filter1 	MA0734.1 GLI2	1.0	8.0514e-02	4.1787e+01	11.0	+
filter1 	MA0739.1 Hic1	0.0	7.3514e-02	3.8154e+01	9.0	+
filter1 	MA0748.1 YY2	2.0	6.6253e-04	3.4385e-01	9.0	+
filter1 	MA0817.1 BHLHE23	-1.0	3.3409e-02	1.7339e+01	12.0	+
filter1 	MA0818.1 BHLHE22	-2.0	4.6026e-02	2.3888e+01	10.0	+
filter1 	MA0826.1 OLIG1	-2.0	9.9674e-02	5.1731e+01	10.0	-
filter1 	MA0827.1 OLIG3	-2.0	1.9619e-02	1.0182e+01	10.0	+
filter1 	MA0861.1 TP73	-2.0	3.8252e-02	1.9853e+01	11.0	+
filter1 	MA0864.1 E2F2	6.0	2.8731e-02	1.4911e+01	10.0	+
filter1 	MA0896.1 Hmx1	2.0	7.9108e-02	4.1057e+01	13.0	+
filter1 	MA0898.1 Hmx3	2.0	9.0851e-02	4.7152e+01	13.0	+
filter2 	MA0014.2 PAX5	-3.0	1.8529e-02	9.6166e+00	12.0	+
filter2 	MA0019.1 Ddit3::Cebpa	-3.0	1.3548e-02	7.0316e+00	12.0	+
filter2 	MA0025.1 NFIL3	0.0	8.4549e-02	4.3881e+01	11.0	-
filter2 	MA0027.2 EN1	-7.0	1.6543e-03	8.5857e-01	8.0	+
filter2 	MA0038.1 Gfi1	-7.0	9.2502e-03	4.8009e+00	8.0	+
filter2 	MA0043.2 HLF	-1.0	5.2244e-03	2.7114e+00	12.0	+
filter2 	MA0060.2 NFYA	-3.0	2.2490e-05	1.1672e-02	12.0	-
filter2 	MA0068.2 PAX4	-7.0	3.4019e-03	1.7656e+00	8.0	+
filter2 	MA0070.1 PBX1	-4.0	2.4932e-02	1.2940e+01	11.0	+
filter2 	MA0075.2 Prrx2	-7.0	5.7591e-03	2.9890e+00	8.0	+
filter2 	MA0077.1 SOX9	-5.0	7.3694e-03	3.8247e+00	9.0	-
filter2 	MA0078.1 Sox17	-6.0	2.0061e-03	1.0412e+00	9.0	-
filter2 	MA0084.1 SRY	-3.0	5.9989e-03	3.1134e+00	9.0	+
filter2 	MA0087.1 Sox5	-5.0	2.3810e-02	1.2357e+01	7.0	-
filter2 	MA0102.3 CEBPA	-1.0	1.4276e-04	7.4090e-02	11.0	-
filter2 	MA0122.2 NKX3-2	-6.0	2.3314e-02	1.2100e+01	9.0	+
filter2 	MA0124.2 Nkx3-1	-6.0	1.8266e-02	9.4800e+00	9.0	+
filter2 	MA0125.1 Nobox	-6.0	3.9655e-03	2.0581e+00	8.0	-
filter2 	MA0132.2 PDX1	-7.0	1.0890e-02	5.6521e+00	8.0	-
filter2 	MA0135.1 Lhx3	-1.0	7.4913e-02	3.8880e+01	13.0	-
filter2 	MA0140.2 GATA1::TAL1	3.0	1.4626e-02	7.5908e+00	15.0	-
filter2 	MA0161.1 NFIC	-5.0	4.0395e-02	2.0965e+01	6.0	-
filter2 	MA0466.2 CEBPB	-2.0	1.3910e-04	7.2191e-02	10.0	+
filter2 	MA0468.1 DUX4	-3.0	1.2218e-02	6.3413e+00	11.0	+
filter2 	MA0476.1 FOS	-1.0	8.8660e-02	4.6014e+01	11.0	-
filter2 	MA0479.1 FOXH1	-6.0	7.6809e-02	3.9864e+01	9.0	+
filter2 	MA0488.1 JUN	-2.0	8.9938e-02	4.6678e+01	13.0	-
filter2 	MA0492.1 JUND(var.2)	-1.0	6.3394e-02	3.2901e+01	14.0	-
filter2 	MA0494.1 Nr1h3::Rxra	6.0	6.7177e-02	3.4865e+01	13.0	+
filter2 	MA0495.1 MAFF	2.0	6.5641e-02	3.4068e+01	15.0	-
filter2 	MA0496.1 MAFK	0.0	7.9640e-02	4.1333e+01	15.0	-
filter2 	MA0502.1 NFYB	0.0	1.0186e-10	5.2866e-08	15.0	+
filter2 	MA0503.1 Nkx2-5(var.2)	-5.0	3.0440e-02	1.5798e+01	10.0	+
filter2 	MA0507.1 POU2F2	-2.0	6.5109e-02	3.3791e+01	13.0	-
filter2 	MA0515.1 Sox6	-4.0	3.6231e-02	1.8804e+01	10.0	-
filter2 	MA0595.1 SREBF1	-2.0	7.1901e-02	3.7317e+01	10.0	+
filter2 	MA0596.1 SREBF2	-2.0	6.8362e-02	3.5480e+01	10.0	-
filter2 	MA0602.1 Arid5a	-1.0	7.1554e-02	3.7137e+01	14.0	-
filter2 	MA0611.1 Dux	-7.0	2.8932e-04	1.5016e-01	8.0	+
filter2 	MA0612.1 EMX1	-6.0	2.9534e-03	1.5328e+00	9.0	+
filter2 	MA0615.1 Gmeb1	2.0	8.6738e-02	4.5017e+01	15.0	-
filter2 	MA0618.1 LBX1	-7.0	2.3860e-02	1.2383e+01	8.0	+
filter2 	MA0621.1 mix-a	-5.0	6.0051e-02	3.1167e+01	10.0	+
filter2 	MA0627.1 Pou2f3	0.0	1.0550e-02	5.4752e+00	15.0	+
filter2 	MA0628.1 POU6F1	-6.0	4.5037e-02	2.3374e+01	9.0	-
filter2 	MA0630.1 SHOX	-7.0	1.0168e-02	5.2770e+00	8.0	-
filter2 	MA0634.1 ALX3	-6.0	1.4309e-02	7.4266e+00	9.0	+
filter2 	MA0639.1 DBP	-1.0	1.5178e-02	7.8775e+00	12.0	+
filter2 	MA0642.1 EN2	-6.0	1.4212e-03	7.3759e-01	9.0	+
filter2 	MA0644.1 ESX1	-6.0	4.4814e-03	2.3259e+00	9.0	+
filter2 	MA0648.1 GSC	-6.0	1.4309e-02	7.4266e+00	9.0	+
filter2 	MA0650.1 HOXA13	-7.0	8.7653e-02	4.5492e+01	8.0	+
filter2 	MA0654.1 ISX	-7.0	6.6601e-03	3.4566e+00	8.0	+
filter2 	MA0658.1 LHX6	-6.0	9.2502e-03	4.8009e+00	9.0	+
filter2 	MA0659.1 MAFG	0.0	2.4235e-02	1.2578e+01	15.0	-
filter2 	MA0661.1 MEOX1	-6.0	1.9323e-02	1.0029e+01	9.0	+
filter2 	MA0662.1 MIXL1	-6.0	8.1379e-03	4.2236e+00	9.0	+
filter2 	MA0666.1 MSX1	-7.0	1.2845e-03	6.6666e-01	8.0	+
filter2 	MA0670.1 NFIA	-3.0	5.8622e-02	3.0425e+01	10.0	+
filter2 	MA0671.1 NFIX	-3.0	4.1680e-02	2.1632e+01	9.0	+
filter2 	MA0672.1 NKX2-3	-6.0	5.2814e-02	2.7411e+01	9.0	+
filter2 	MA0674.1 NKX6-1	-7.0	3.4405e-02	1.7856e+01	8.0	-
filter2 	MA0675.1 NKX6-2	-7.0	3.6510e-02	1.8949e+01	8.0	-
filter2 	MA0681.1 Phox2b	-3.0	5.4291e-02	2.8177e+01	11.0	+
filter2 	MA0682.1 Pitx1	-7.0	9.3481e-02	4.8516e+01	8.0	+
filter2 	MA0699.1 LBX2	-6.0	2.9534e-03	1.5328e+00	9.0	+
filter2 	MA0700.1 LHX2	-6.0	4.7966e-03	2.4894e+00	9.0	-
filter2 	MA0701.1 LHX9	-7.0	4.2776e-03	2.2201e+00	8.0	+
filter2 	MA0702.1 LMX1A	-7.0	3.6510e-02	1.8949e+01	8.0	+
filter2 	MA0703.1 LMX1B	-7.0	2.2411e-02	1.1631e+01	8.0	+
filter2 	MA0704.1 Lhx4	-7.0	1.9743e-02	1.0246e+01	8.0	-
filter2 	MA0705.1 Lhx8	-7.0	2.2942e-03	1.1907e+00	8.0	+
filter2 	MA0706.1 MEOX2	-6.0	2.8976e-02	1.5038e+01	9.0	+
filter2 	MA0707.1 MNX1	-6.0	3.6231e-02	1.8804e+01	9.0	+
filter2 	MA0708.1 MSX2	-7.0	1.0808e-03	5.6093e-01	8.0	+
filter2 	MA0709.1 Msx3	-7.0	1.7971e-03	9.3270e-01	8.0	+
filter2 	MA0710.1 NOTO	-6.0	4.1852e-03	2.1721e+00	9.0	-
filter2 	MA0711.1 OTX1	-7.0	2.8712e-02	1.4902e+01	8.0	+
filter2 	MA0712.1 OTX2	-7.0	7.1860e-02	3.7296e+01	8.0	+
filter2 	MA0713.1 PHOX2A	-3.0	4.9016e-02	2.5439e+01	11.0	+
filter2 	MA0714.1 PITX3	-6.0	3.3201e-02	1.7231e+01	9.0	+
filter2 	MA0716.1 PRRX1	-7.0	8.2489e-03	4.2812e+00	8.0	+
filter2 	MA0717.1 RAX2	-7.0	4.9690e-03	2.5789e+00	8.0	+
filter2 	MA0718.1 RAX	-6.0	4.7966e-03	2.4894e+00	9.0	+
filter2 	MA0720.1 Shox2	-7.0	4.6117e-03	2.3935e+00	8.0	+
filter2 	MA0721.1 UNCX	-7.0	9.4881e-03	4.9243e+00	8.0	+
filter2 	MA0722.1 VAX1	-7.0	1.7358e-02	9.0091e+00	8.0	+
filter2 	MA0723.1 VAX2	-7.0	1.4258e-02	7.3999e+00	8.0	+
filter2 	MA0724.1 VENTX	-7.0	1.7167e-02	8.9097e+00	8.0	-
filter2 	MA0725.1 VSX1	-7.0	7.6853e-03	3.9887e+00	8.0	-
filter2 	MA0726.1 VSX2	-7.0	8.8492e-03	4.5927e+00	8.0	-
filter2 	MA0754.1 CUX1	-4.0	3.8277e-02	1.9866e+01	10.0	+
filter2 	MA0755.1 CUX2	-4.0	4.7511e-02	2.4658e+01	10.0	+
filter2 	MA0757.1 ONECUT3	-1.0	8.9727e-02	4.6568e+01	14.0	+
filter2 	MA0784.1 POU1F1	-1.0	2.2922e-03	1.1897e+00	14.0	+
filter2 	MA0785.1 POU2F1	-1.0	3.0845e-02	1.6009e+01	12.0	+
filter2 	MA0786.1 POU3F1	-2.0	7.2243e-02	3.7494e+01	12.0	+
filter2 	MA0787.1 POU3F2	-2.0	2.9260e-02	1.5186e+01	12.0	+
filter2 	MA0788.1 POU3F3	-1.0	4.0028e-02	2.0774e+01	13.0	+
filter2 	MA0790.1 POU4F1	-1.0	4.0379e-02	2.0957e+01	14.0	-
filter2 	MA0791.1 POU4F3	1.0	3.3534e-02	1.7404e+01	15.0	-
filter2 	MA0793.1 POU6F2	-7.0	8.7653e-02	4.5492e+01	8.0	-
filter2 	MA0833.1 ATF4	0.0	5.9158e-04	3.0703e-01	13.0	+
filter2 	MA0836.1 CEBPD	-2.0	1.1568e-04	6.0039e-02	10.0	+
filter2 	MA0837.1 CEBPE	-2.0	9.5938e-05	4.9792e-02	10.0	+
filter2 	MA0838.1 CEBPG	-2.0	7.9333e-05	4.1174e-02	10.0	+
filter2 	MA0843.1 TEF	-1.0	3.2507e-02	1.6871e+01	12.0	+
filter2 	MA0851.1 Foxj3	2.0	3.0675e-02	1.5921e+01	15.0	+
filter2 	MA0852.1 Foxk1	2.0	9.8909e-02	5.1334e+01	15.0	+
filter2 	MA0853.1 Alx4	-2.0	2.7731e-02	1.4393e+01	13.0	-
filter2 	MA0854.1 Alx1	-2.0	1.4812e-02	7.6876e+00	13.0	-
filter2 	MA0874.1 Arx	-2.0	2.9170e-02	1.5139e+01	13.0	+
filter2 	MA0875.1 BARX1	-7.0	2.5391e-02	1.3178e+01	8.0	-
filter2 	MA0876.1 BSX	-7.0	7.1563e-03	3.7141e+00	8.0	-
filter2 	MA0877.1 Barhl1	-6.0	3.0657e-02	1.5911e+01	9.0	-
filter2 	MA0879.1 Dlx1	-6.0	1.3460e-02	6.9858e+00	9.0	+
filter2 	MA0880.1 Dlx3	-7.0	1.0168e-02	5.2770e+00	8.0	+
filter2 	MA0881.1 Dlx4	-7.0	1.0168e-02	5.2770e+00	8.0	+
filter2 	MA0882.1 DLX6	-7.0	1.3339e-02	6.9232e+00	8.0	+
filter2 	MA0883.1 Dmbx1	-3.0	2.9170e-02	1.5139e+01	12.0	-
filter2 	MA0884.1 DUXA	-2.0	3.1585e-03	1.6392e+00	13.0	+
filter2 	MA0885.1 Dlx2	-7.0	1.1658e-02	6.0506e+00	8.0	+
filter2 	MA0886.1 EMX2	-6.0	9.8563e-03	5.1154e+00	9.0	-
filter2 	MA0887.1 EVX1	-6.0	3.1695e-03	1.6449e+00	9.0	-
filter2 	MA0888.1 EVX2	-6.0	2.3831e-03	1.2368e+00	9.0	-
filter2 	MA0889.1 GBX1	-6.0	1.0466e-03	5.4320e-01	9.0	+
filter2 	MA0890.1 GBX2	-6.0	2.2165e-03	1.1504e+00	9.0	+
filter2 	MA0891.1 GSC2	-6.0	1.8210e-02	9.4511e+00	9.0	+
filter2 	MA0892.1 GSX1	-6.0	1.1896e-02	6.1741e+00	9.0	-
filter2 	MA0893.1 GSX2	-6.0	1.9323e-02	1.0029e+01	9.0	-
filter2 	MA0894.1 HESX1	-6.0	5.1317e-03	2.6634e+00	9.0	-
filter2 	MA0896.1 Hmx1	-3.0	8.2975e-02	4.3064e+01	12.0	+
filter2 	MA0898.1 Hmx3	-2.0	7.2514e-02	3.7635e+01	13.0	-
filter2 	MA0900.1 HOXA2	-6.0	4.7966e-03	2.4894e+00	9.0	-
filter2 	MA0901.1 HOXB13	-7.0	5.0102e-02	2.6003e+01	8.0	+
filter2 	MA0902.1 HOXB2	-6.0	7.6284e-03	3.9592e+00	9.0	-
filter2 	MA0903.1 HOXB3	-6.0	7.1480e-03	3.7098e+00	9.0	-
filter2 	MA0904.1 Hoxb5	-2.0	2.1448e-03	1.1132e+00	13.0	-
filter2 	MA0910.1 Hoxd8	0.0	4.7680e-02	2.4746e+01	15.0	+
filter2 	MA0912.1 Hoxd3	-2.0	8.9237e-03	4.6314e+00	13.0	+
filter2 	MA0914.1 ISL2	-7.0	1.9743e-02	1.0246e+01	8.0	+
filter3 	MA0028.2 ELK1	-2.0	5.3389e-02	2.7709e+01	10.0	+
filter3 	MA0062.2 Gabpa	-3.0	8.7372e-02	4.5346e+01	9.0	+
filter3 	MA0076.2 ELK4	-2.0	1.4012e-02	7.2724e+00	10.0	-
filter3 	MA0092.1 Hand1::Tcf3	0.0	9.2804e-02	4.8165e+01	10.0	-
filter3 	MA0098.3 ETS1	-2.0	9.7025e-03	5.0356e+00	10.0	+
filter3 	MA0101.1 REL	-5.0	3.9856e-02	2.0685e+01	7.0	-
filter3 	MA0136.2 ELF5	-1.0	2.7719e-03	1.4386e+00	11.0	+
filter3 	MA0137.3 STAT1	1.0	1.8481e-05	9.5915e-03	10.0	-
filter3 	MA0144.2 STAT3	1.0	6.4797e-04	3.3630e-01	10.0	-
filter3 	MA0152.1 NFATC2	-4.0	1.3525e-02	7.0195e+00	7.0	-
filter3 	MA0156.2 FEV	-2.0	1.2742e-02	6.6129e+00	10.0	+
filter3 	MA0463.1 Bcl6	1.0	2.8667e-06	1.4878e-03	12.0	+
filter3 	MA0470.1 E2F4	0.0	3.5672e-02	1.8514e+01	11.0	+
filter3 	MA0473.2 ELF1	0.0	2.8464e-02	1.4773e+01	12.0	+
filter3 	MA0474.2 ERG	-2.0	7.8715e-03	4.0853e+00	10.0	+
filter3 	MA0475.2 FLI1	-2.0	1.1129e-02	5.7758e+00	10.0	+
filter3 	MA0486.2 HSF1	-1.0	1.0652e-02	5.5285e+00	11.0	+
filter3 	MA0497.1 MEF2C	0.0	1.8277e-02	9.4857e+00	12.0	+
filter3 	MA0517.1 STAT1::STAT2	-5.0	4.2656e-02	2.2139e+01	7.0	-
filter3 	MA0518.1 Stat4	1.0	3.1855e-05	1.6533e-02	12.0	+
