Query_ID	Target_ID	Optimal_Offset	p-value	E-value	Overlap	Strand
filter0 	MA0896.1 Hmx1	-1.0	8.3574e-02	4.3375e+01	17.0	-
filter0 	MA0900.1 HOXA2	-1.0	8.6485e-02	4.4886e+01	10.0	-
filter0 	MA0902.1 HOXB2	-1.0	4.7359e-02	2.4579e+01	10.0	-
filter0 	MA0903.1 HOXB3	-1.0	6.1232e-02	3.1779e+01	10.0	-
filter0 	MA0904.1 Hoxb5	0.0	1.6120e-02	8.3662e+00	16.0	-
filter0 	MA0905.1 HOXC10	0.0	4.2634e-02	2.2127e+01	10.0	-
filter0 	MA0910.1 Hoxd8	1.0	2.6600e-02	1.3805e+01	16.0	+
filter0 	MA0911.1 Hoxa11	1.0	9.3649e-02	4.8604e+01	11.0	-
filter0 	MA0912.1 Hoxd3	1.0	4.7159e-02	2.4475e+01	15.0	-
filter1 	MA0014.2 PAX5	-1.0	6.8305e-02	3.5450e+01	18.0	+
filter1 	MA0019.1 Ddit3::Cebpa	-4.0	9.5310e-02	4.9466e+01	12.0	+
filter1 	MA0050.2 IRF1	-1.0	1.5472e-02	8.0302e+00	18.0	+
filter1 	MA0077.1 SOX9	-9.0	2.8395e-02	1.4737e+01	9.0	+
filter1 	MA0078.1 Sox17	-8.0	8.5626e-02	4.4440e+01	9.0	+
filter1 	MA0089.1 MAFG::NFE2L1	-8.0	1.6704e-02	8.6694e+00	6.0	-
filter1 	MA0091.1 TAL1::TCF3	-6.0	1.9847e-02	1.0300e+01	12.0	+
filter1 	MA0095.2 YY1	-5.0	-5.3912e-13	-2.7981e-10	12.0	-
filter1 	MA0106.3 TP53	2.0	9.0037e-02	4.6729e+01	16.0	+
filter1 	MA0108.2 TBP	-4.0	3.2031e-02	1.6624e+01	15.0	-
filter1 	MA0109.1 HLTF	-7.0	1.0663e-02	5.5339e+00	10.0	+
filter1 	MA0130.1 ZNF354C	-7.0	6.9665e-02	3.6156e+01	6.0	+
filter1 	MA0139.1 CTCF	-4.0	4.7486e-02	2.4645e+01	15.0	-
filter1 	MA0140.2 GATA1::TAL1	5.0	4.8052e-02	2.4939e+01	13.0	+
filter1 	MA0143.3 Sox2	-9.0	2.3843e-02	1.2375e+01	8.0	+
filter1 	MA0146.2 Zfx	0.0	7.3917e-02	3.8363e+01	14.0	+
filter1 	MA0147.2 Myc	-9.0	4.3637e-02	2.2648e+01	10.0	+
filter1 	MA0161.1 NFIC	-7.0	6.5541e-03	3.4016e+00	6.0	-
filter1 	MA0461.2 Atoh1	-8.0	1.6145e-02	8.3794e+00	10.0	-
filter1 	MA0469.2 E2F3	1.0	1.3195e-02	6.8481e+00	17.0	-
filter1 	MA0488.1 JUN	-6.0	8.1176e-02	4.2130e+01	13.0	-
filter1 	MA0492.1 JUND(var.2)	-2.0	3.0453e-02	1.5805e+01	15.0	-
filter1 	MA0495.1 MAFF	0.0	1.5440e-02	8.0133e+00	18.0	+
filter1 	MA0496.1 MAFK	-1.0	7.9465e-02	4.1242e+01	15.0	+
filter1 	MA0497.1 MEF2C	-7.0	2.3559e-02	1.2227e+01	12.0	-
filter1 	MA0499.1 Myod1	-5.0	5.5524e-02	2.8817e+01	13.0	-
filter1 	MA0502.1 NFYB	-2.0	1.1722e-02	6.0836e+00	15.0	+
filter1 	MA0515.1 Sox6	-9.0	5.9389e-02	3.0823e+01	10.0	+
filter1 	MA0516.1 SP2	-3.0	4.7531e-02	2.4669e+01	15.0	+
filter1 	MA0597.1 THAP1	-6.0	1.3292e-02	6.8988e+00	9.0	+
filter1 	MA0602.1 Arid5a	-4.0	6.8252e-04	3.5423e-01	14.0	-
filter1 	MA0607.1 Bhlha15	-9.0	6.1541e-02	3.1940e+01	8.0	+
filter1 	MA0615.1 Gmeb1	-2.0	6.6719e-03	3.4627e+00	17.0	-
filter1 	MA0616.1 Hes2	-4.0	3.3617e-02	1.7447e+01	13.0	+
filter1 	MA0623.1 Neurog1	-8.0	7.3758e-03	3.8281e+00	10.0	-
filter1 	MA0629.1 Rhox11	-3.0	1.5909e-02	8.2565e+00	16.0	+
filter1 	MA0633.1 Twist2	-8.0	2.5441e-02	1.3204e+01	10.0	+
filter1 	MA0657.1 KLF13	-1.0	3.9799e-02	2.0656e+01	18.0	+
filter1 	MA0668.1 NEUROD2	-8.0	6.9282e-03	3.5957e+00	10.0	+
filter1 	MA0669.1 NEUROG2	-8.0	5.3661e-02	2.7850e+01	10.0	-
filter1 	MA0670.1 NFIA	-5.0	4.1405e-02	2.1489e+01	10.0	+
filter1 	MA0671.1 NFIX	-5.0	7.1228e-03	3.6967e+00	9.0	+
filter1 	MA0678.1 OLIG2	-8.0	2.6890e-02	1.3956e+01	10.0	+
filter1 	MA0679.1 ONECUT1	-4.0	7.3917e-02	3.8363e+01	14.0	-
filter1 	MA0687.1 SPIC	-4.0	7.7404e-02	4.0173e+01	14.0	-
filter1 	MA0695.1 ZBTB7C	-5.0	5.9351e-02	3.0803e+01	12.0	+
filter1 	MA0698.1 ZBTB18	-7.0	5.8286e-02	3.0250e+01	12.0	-
filter1 	MA0734.1 GLI2	-5.0	3.2260e-02	1.6743e+01	12.0	+
filter1 	MA0738.1 HIC2	-4.0	6.0286e-02	3.1289e+01	9.0	-
filter1 	MA0739.1 Hic1	-6.0	8.1527e-02	4.2313e+01	9.0	+
filter1 	MA0748.1 YY2	-4.0	4.3400e-05	2.2525e-02	11.0	+
filter1 	MA0750.1 ZBTB7A	-4.0	7.2008e-02	3.7372e+01	12.0	+
filter1 	MA0756.1 ONECUT2	-4.0	9.2796e-02	4.8161e+01	14.0	-
filter1 	MA0799.1 RFX4	-4.0	9.1299e-02	4.7384e+01	15.0	+
filter1 	MA0817.1 BHLHE23	-7.0	4.6284e-02	2.4021e+01	12.0	+
filter1 	MA0818.1 BHLHE22	-8.0	5.3661e-02	2.7850e+01	10.0	+
filter1 	MA0827.1 OLIG3	-8.0	2.2751e-02	1.1808e+01	10.0	+
filter1 	MA0834.1 ATF7	-1.0	9.7026e-02	5.0356e+01	14.0	-
filter1 	MA0861.1 TP73	-8.0	9.8073e-02	5.0900e+01	11.0	+
filter1 	MA0864.1 E2F2	0.0	3.1111e-02	1.6147e+01	16.0	-
filter1 	MA0883.1 Dmbx1	0.0	5.4696e-02	2.8387e+01	17.0	-
filter1 	MA0896.1 Hmx1	-4.0	3.0816e-02	1.5993e+01	15.0	+
filter1 	MA0897.1 Hmx2	-4.0	6.5690e-02	3.4093e+01	15.0	+
filter1 	MA0898.1 Hmx3	-4.0	5.4696e-02	2.8387e+01	15.0	+
filter1 	MA0912.1 Hoxd3	-3.0	7.6490e-02	3.9698e+01	16.0	+
filter2 	MA0014.2 PAX5	-4.0	2.4701e-02	1.2820e+01	15.0	+
filter2 	MA0019.1 Ddit3::Cebpa	-4.0	1.8794e-02	9.7538e+00	12.0	+
filter2 	MA0027.2 EN1	-8.0	1.9172e-03	9.9502e-01	8.0	+
filter2 	MA0038.1 Gfi1	-8.0	1.0317e-03	5.3544e-01	10.0	+
filter2 	MA0043.2 HLF	-2.0	7.2767e-03	3.7766e+00	12.0	+
filter2 	MA0046.2 HNF1A	-2.0	7.2477e-02	3.7616e+01	15.0	+
filter2 	MA0060.2 NFYA	-4.0	2.0678e-06	1.0732e-03	15.0	-
filter2 	MA0068.2 PAX4	-8.0	3.9359e-03	2.0427e+00	8.0	+
filter2 	MA0070.1 PBX1	-5.0	1.1138e-02	5.7806e+00	12.0	+
filter2 	MA0075.2 Prrx2	-8.0	6.6497e-03	3.4512e+00	8.0	+
filter2 	MA0077.1 SOX9	-6.0	9.2053e-03	4.7776e+00	9.0	-
filter2 	MA0078.1 Sox17	-7.0	2.5394e-03	1.3179e+00	9.0	-
filter2 	MA0084.1 SRY	-4.0	7.5108e-03	3.8981e+00	9.0	+
filter2 	MA0087.1 Sox5	-6.0	2.5331e-02	1.3147e+01	7.0	-
filter2 	MA0102.3 CEBPA	-2.0	1.9204e-04	9.9667e-02	11.0	-
filter2 	MA0122.2 NKX3-2	-7.0	2.8663e-02	1.4876e+01	9.0	+
filter2 	MA0124.2 Nkx3-1	-7.0	2.2540e-02	1.1698e+01	9.0	+
filter2 	MA0125.1 Nobox	-7.0	4.5856e-03	2.3799e+00	8.0	-
filter2 	MA0132.2 PDX1	-8.0	1.2534e-02	6.5050e+00	8.0	-
filter2 	MA0140.2 GATA1::TAL1	2.0	5.3059e-02	2.7538e+01	16.0	-
filter2 	MA0148.3 FOXA1	-4.0	3.9263e-02	2.0378e+01	15.0	-
filter2 	MA0158.1 HOXA5	-10.0	8.1877e-02	4.2494e+01	8.0	-
filter2 	MA0161.1 NFIC	-6.0	4.1210e-02	2.1388e+01	6.0	-
filter2 	MA0466.2 CEBPB	-3.0	1.8824e-04	9.7698e-02	10.0	+
filter2 	MA0468.1 DUX4	-4.0	1.6508e-02	8.5676e+00	11.0	+
filter2 	MA0488.1 JUN	0.0	8.7680e-02	4.5506e+01	13.0	+
filter2 	MA0489.1 JUN(var.2)	-3.0	8.8107e-02	4.5728e+01	14.0	-
filter2 	MA0492.1 JUND(var.2)	-2.0	2.9137e-02	1.5122e+01	15.0	-
filter2 	MA0494.1 Nr1h3::Rxra	5.0	7.1632e-02	3.7177e+01	14.0	+
filter2 	MA0495.1 MAFF	1.0	2.6110e-02	1.3551e+01	17.0	-
filter2 	MA0502.1 NFYB	-1.0	4.3307e-10	2.2476e-07	15.0	+
filter2 	MA0503.1 Nkx2-5(var.2)	-6.0	1.7510e-02	9.0874e+00	11.0	+
filter2 	MA0507.1 POU2F2	-3.0	9.1771e-02	4.7629e+01	13.0	-
filter2 	MA0515.1 Sox6	-5.0	4.6486e-02	2.4126e+01	10.0	-
filter2 	MA0595.1 SREBF1	-3.0	9.0751e-02	4.7100e+01	10.0	+
filter2 	MA0596.1 SREBF2	-3.0	8.6400e-02	4.4841e+01	10.0	-
filter2 	MA0602.1 Arid5a	-4.0	4.7929e-02	2.4875e+01	14.0	-
filter2 	MA0611.1 Dux	-8.0	3.3918e-04	1.7603e-01	8.0	+
filter2 	MA0612.1 EMX1	-7.0	5.8522e-04	3.0373e-01	10.0	+
filter2 	MA0615.1 Gmeb1	-1.0	2.5602e-02	1.3287e+01	17.0	+
filter2 	MA0618.1 LBX1	-8.0	2.7347e-02	1.4193e+01	8.0	+
filter2 	MA0621.1 mix-a	-7.0	7.4253e-03	3.8537e+00	11.0	-
filter2 	MA0627.1 Pou2f3	-1.0	5.7043e-03	2.9605e+00	16.0	+
filter2 	MA0628.1 POU6F1	-7.0	2.1046e-02	1.0923e+01	10.0	-
filter2 	MA0630.1 SHOX	-8.0	1.1707e-02	6.0757e+00	8.0	-
filter2 	MA0631.1 Six3	-3.0	5.2456e-02	2.7225e+01	16.0	+
filter2 	MA0634.1 ALX3	-7.0	3.9345e-03	2.0420e+00	10.0	+
filter2 	MA0635.1 BARHL2	-7.0	6.7185e-02	3.4869e+01	10.0	+
filter2 	MA0639.1 DBP	-2.0	2.1034e-02	1.0917e+01	12.0	+
filter2 	MA0642.1 EN2	-7.0	3.8336e-04	1.9897e-01	10.0	+
filter2 	MA0644.1 ESX1	-7.0	1.1162e-03	5.7930e-01	10.0	+
filter2 	MA0648.1 GSC	-7.0	4.5218e-03	2.3468e+00	10.0	+
filter2 	MA0650.1 HOXA13	-8.0	2.1046e-02	1.0923e+01	10.0	+
filter2 	MA0654.1 ISX	-8.0	7.6848e-03	3.9884e+00	8.0	+
filter2 	MA0658.1 LHX6	-7.0	2.7563e-03	1.4305e+00	10.0	+
filter2 	MA0659.1 MAFG	-1.0	2.1542e-02	1.1180e+01	18.0	+
filter2 	MA0661.1 MEOX1	-7.0	6.7919e-03	3.5250e+00	10.0	+
filter2 	MA0662.1 MIXL1	-7.0	1.7702e-03	9.1871e-01	10.0	+
filter2 	MA0666.1 MSX1	-8.0	1.4894e-03	7.7302e-01	8.0	+
filter2 	MA0670.1 NFIA	-4.0	7.4383e-02	3.8605e+01	10.0	+
filter2 	MA0671.1 NFIX	-4.0	5.0761e-02	2.6345e+01	9.0	+
filter2 	MA0672.1 NKX2-3	-7.0	2.1046e-02	1.0923e+01	10.0	+
filter2 	MA0674.1 NKX6-1	-8.0	3.9364e-02	2.0430e+01	8.0	-
filter2 	MA0675.1 NKX6-2	-8.0	4.1760e-02	2.1673e+01	8.0	-
filter2 	MA0681.1 Phox2b	-4.0	7.1507e-02	3.7112e+01	11.0	+
filter2 	MA0699.1 LBX2	-7.0	4.9505e-04	2.5693e-01	10.0	+
filter2 	MA0700.1 LHX2	-7.0	1.0317e-03	5.3544e-01	10.0	+
filter2 	MA0701.1 LHX9	-8.0	4.9452e-03	2.5665e+00	8.0	+
filter2 	MA0702.1 LMX1A	-8.0	4.1760e-02	2.1673e+01	8.0	+
filter2 	MA0703.1 LMX1B	-8.0	2.5694e-02	1.3335e+01	8.0	+
filter2 	MA0704.1 Lhx4	-8.0	2.2650e-02	1.1755e+01	8.0	-
filter2 	MA0705.1 Lhx8	-8.0	2.6571e-03	1.3790e+00	8.0	+
filter2 	MA0706.1 MEOX2	-7.0	6.7919e-03	3.5250e+00	10.0	+
filter2 	MA0707.1 MNX1	-7.0	1.2152e-02	6.3069e+00	10.0	+
filter2 	MA0708.1 MSX2	-8.0	1.2538e-03	6.5071e-01	8.0	+
filter2 	MA0709.1 Msx3	-8.0	2.0824e-03	1.0808e+00	8.0	+
filter2 	MA0710.1 NOTO	-7.0	7.4878e-04	3.8862e-01	10.0	-
filter2 	MA0711.1 OTX1	-8.0	3.2878e-02	1.7064e+01	8.0	+
filter2 	MA0712.1 OTX2	-8.0	8.1877e-02	4.2494e+01	8.0	+
filter2 	MA0713.1 PHOX2A	-4.0	6.4721e-02	3.3590e+01	11.0	+
filter2 	MA0714.1 PITX3	-7.0	4.0589e-02	2.1066e+01	9.0	+
filter2 	MA0716.1 PRRX1	-8.0	9.5079e-03	4.9346e+00	8.0	+
filter2 	MA0717.1 RAX2	-8.0	5.7410e-03	2.9796e+00	8.0	+
filter2 	MA0718.1 RAX	-7.0	9.5305e-04	4.9463e-01	10.0	+
filter2 	MA0720.1 Shox2	-8.0	5.3298e-03	2.7662e+00	8.0	+
filter2 	MA0721.1 UNCX	-8.0	1.0928e-02	5.6717e+00	8.0	+
filter2 	MA0722.1 VAX1	-8.0	1.9928e-02	1.0343e+01	8.0	+
filter2 	MA0723.1 VAX2	-8.0	1.6386e-02	8.5042e+00	8.0	+
filter2 	MA0724.1 VENTX	-8.0	1.3656e-02	7.0875e+00	9.0	-
filter2 	MA0725.1 VSX1	-8.0	8.8614e-03	4.5991e+00	8.0	-
filter2 	MA0726.1 VSX2	-8.0	1.0196e-02	5.2917e+00	8.0	-
filter2 	MA0733.1 EGR4	-2.0	9.0962e-02	4.7209e+01	16.0	+
filter2 	MA0754.1 CUX1	-5.0	4.9054e-02	2.5459e+01	10.0	+
filter2 	MA0755.1 CUX2	-5.0	6.0590e-02	3.1446e+01	10.0	+
filter2 	MA0784.1 POU1F1	-2.0	3.7742e-03	1.9588e+00	14.0	+
filter2 	MA0785.1 POU2F1	-2.0	4.2373e-02	2.1991e+01	12.0	+
filter2 	MA0786.1 POU3F1	-3.0	9.7330e-02	5.0514e+01	12.0	+
filter2 	MA0787.1 POU3F2	-3.0	4.0229e-02	2.0879e+01	12.0	+
filter2 	MA0788.1 POU3F3	-2.0	5.7324e-02	2.9751e+01	13.0	+
filter2 	MA0790.1 POU4F1	-2.0	6.0936e-02	3.1626e+01	14.0	-
filter2 	MA0791.1 POU4F3	0.0	1.3082e-02	6.7898e+00	16.0	-
filter2 	MA0793.1 POU6F2	-8.0	1.8679e-02	9.6945e+00	10.0	-
filter2 	MA0833.1 ATF4	-1.0	8.9141e-04	4.6264e-01	13.0	+
filter2 	MA0836.1 CEBPD	-3.0	1.5645e-04	8.1199e-02	10.0	+
filter2 	MA0837.1 CEBPE	-3.0	1.2963e-04	6.7279e-02	10.0	+
filter2 	MA0838.1 CEBPG	-3.0	1.0707e-04	5.5569e-02	10.0	+
filter2 	MA0843.1 TEF	-2.0	4.4616e-02	2.3156e+01	12.0	+
filter2 	MA0851.1 Foxj3	1.0	2.4360e-02	1.2643e+01	16.0	+
filter2 	MA0852.1 Foxk1	1.0	8.5648e-02	4.4451e+01	16.0	+
filter2 	MA0853.1 Alx4	-3.0	1.7991e-03	9.3372e-01	16.0	-
filter2 	MA0854.1 Alx1	-3.0	1.1650e-03	6.0464e-01	16.0	-
filter2 	MA0874.1 Arx	-3.0	2.1590e-03	1.1205e+00	16.0	+
filter2 	MA0875.1 BARX1	-8.0	2.9092e-02	1.5099e+01	8.0	-
filter2 	MA0876.1 BSX	-8.0	8.2544e-03	4.2840e+00	8.0	-
filter2 	MA0877.1 Barhl1	-7.0	8.2761e-03	4.2953e+00	10.0	-
filter2 	MA0879.1 Dlx1	-7.0	3.6676e-03	1.9035e+00	10.0	+
filter2 	MA0880.1 Dlx3	-8.0	1.1707e-02	6.0757e+00	8.0	+
filter2 	MA0881.1 Dlx4	-8.0	1.1707e-02	6.0757e+00	8.0	+
filter2 	MA0882.1 DLX6	-8.0	1.5336e-02	7.9592e+00	8.0	+
filter2 	MA0883.1 Dmbx1	-4.0	2.2932e-03	1.1902e+00	15.0	-
filter2 	MA0884.1 DUXA	-3.0	4.7200e-03	2.4497e+00	13.0	+
filter2 	MA0885.1 Dlx2	-8.0	1.3413e-02	6.9611e+00	8.0	+
filter2 	MA0886.1 EMX2	-7.0	2.3827e-03	1.2366e+00	10.0	-
filter2 	MA0887.1 EVX1	-7.0	7.4878e-04	3.8862e-01	10.0	-
filter2 	MA0888.1 EVX2	-7.0	5.3842e-04	2.7944e-01	10.0	-
filter2 	MA0889.1 GBX1	-7.0	2.4707e-04	1.2823e-01	10.0	+
filter2 	MA0890.1 GBX2	-7.0	3.8336e-04	1.9897e-01	10.0	+
filter2 	MA0891.1 GSC2	-7.0	6.3535e-03	3.2975e+00	10.0	+
filter2 	MA0892.1 GSX1	-7.0	2.5634e-03	1.3304e+00	10.0	-
filter2 	MA0893.1 GSX2	-7.0	3.9345e-03	2.0420e+00	10.0	-
filter2 	MA0894.1 HESX1	-7.0	1.4090e-03	7.3126e-01	10.0	-
filter2 	MA0896.1 Hmx1	-4.0	7.6829e-03	3.9874e+00	15.0	+
filter2 	MA0897.1 Hmx2	-4.0	1.0087e-02	5.2352e+00	15.0	+
filter2 	MA0898.1 Hmx3	-4.0	1.1843e-02	6.1468e+00	15.0	+
